0,4.41931963
500,0.259603351
1000,0.259129941
1500,0.257530212
2000,0.250527978
2500,0.120941177
3000,0.079474732
3500,0.062470719
4000,0.043396801
4500,0.036093917
5000,0.031542733
5500,0.028819758
6000,0.027247727
6500,0.026040133
7000,0.025005551
7500,0.023902711
8000,0.022801898
8500,0.021587472
9000,0.02061256
9500,0.019765645
10000,0.018989401
10500,0.018276419
11000,0.01768174
11500,0.017041869
12000,0.016513288
12500,0.016046168
13000,0.015640512
13500,0.015327846
14000,0.014934098
14500,0.014624488
15000,0.01433523
15500,0.014061823
16000,0.013802755
16500,0.013558039
17000,0.014230452
17500,0.013109756
18000,0.012905205
18500,0.012713327
19000,0.012532463
19500,0.012360399
20000,0.012204696
20500,0.012038236
21000,0.011887056
21500,0.011739681
22000,0.011596446
22500,0.011458645
23000,0.01132275
23500,0.011391296
24000,0.011067839
24500,0.010930383
25000,0.010802721
25500,0.010838115
26000,0.01055397
26500,0.010443215
27000,0.010339569
27500,0.010192261
28000,0.010074429
28500,0.009958192
29000,0.009843695
29500,0.009731057
30000,0.009621452
30500,0.009513873
31000,0.009408826
31500,0.009306125
32000,0.009206725
32500,0.009110024
33000,0.009015718
33500,0.008923347
34000,0.008834277
34500,0.008747484
35000,0.008663277
35500,0.008705842
36000,0.008748748
36500,0.008426321
37000,0.008351886
37500,0.008280715
38000,0.008212584
38500,0.008145501
39000,0.008080382
39500,0.008017604
40000,0.007956641
40500,0.007898294
41000,0.007841268
41500,0.007785859
42000,0.007732638
42500,0.007681913
43000,0.008043389
43500,0.007583959
44000,0.007538135
44500,0.007492965
45000,0.007449067
45500,0.007406757
46000,0.007365754
46500,0.007326236
47000,0.007310803
47500,0.007253707
48000,0.007214771
48500,0.007182266
49000,0.007267303
49500,0.007138531
49999,0.007110114
